"iter","time","est_name","n_fe","dgp_name","n_iters","n_obs"
2,0.141207695007324,"alpaca Poisson",2,"simple",10,10000
2,0.0556347370147705,"fixest::fepois",2,"simple",10,10000
2,0.178677082061768,"pyfixest.fepois",3,"simple",10,10000
2,0.0546078681945801,"GLFixedEffectModels Poisson",3,"simple",10,10000
2,0.702591180801392,"alpaca Poisson",3,"simple",10,10000
2,0.0282020568847656,"fixest::fepois",3,"simple",10,10000
3,0.101629257202148,"pyfixest.fepois",2,"simple",10,10000
3,0.0187861919403076,"GLFixedEffectModels Poisson",2,"simple",10,10000
3,0.115310668945312,"alpaca Poisson",2,"simple",10,10000
3,0.0479733943939209,"fixest::fepois",2,"simple",10,10000
3,0.142359733581543,"pyfixest.fepois",3,"simple",10,10000
3,0.0364029407501221,"GLFixedEffectModels Poisson",3,"simple",10,10000
3,0.263000726699829,"alpaca Poisson",3,"simple",10,10000
3,0.0559072494506836,"fixest::fepois",3,"simple",10,10000
4,0.102497100830078,"pyfixest.fepois",2,"simple",10,10000
4,0.0226330757141113,"GLFixedEffectModels Poisson",2,"simple",10,10000
4,0.114476203918457,"alpaca Poisson",2,"simple",10,10000
4,0.0505964756011963,"fixest::fepois",2,"simple",10,10000
4,0.131709814071655,"pyfixest.fepois",3,"simple",10,10000
4,0.0317189693450928,"GLFixedEffectModels Poisson",3,"simple",10,10000
4,0.246960163116455,"alpaca Poisson",3,"simple",10,10000
4,0.056225061416626,"fixest::fepois",3,"simple",10,10000
5,0.111600875854492,"pyfixest.fepois",2,"simple",10,10000
5,0.0247929096221924,"GLFixedEffectModels Poisson",2,"simple",10,10000
5,0.128034114837646,"alpaca Poisson",2,"simple",10,10000
5,0.0382905006408691,"fixest::fepois",2,"simple",10,10000
5,0.155780792236328,"pyfixest.fepois",3,"simple",10,10000
5,0.0456030368804932,"GLFixedEffectModels Poisson",3,"simple",10,10000
5,0.470950841903687,"alpaca Poisson",3,"simple",10,10000
5,0.0573673248291016,"fixest::fepois",3,"simple",10,10000
6,0.104757785797119,"pyfixest.fepois",2,"simple",10,10000
6,0.0226931571960449,"GLFixedEffectModels Poisson",2,"simple",10,10000
6,0.139106750488281,"alpaca Poisson",2,"simple",10,10000
6,0.0452971458435059,"fixest::fepois",2,"simple",10,10000
6,0.155456781387329,"pyfixest.fepois",3,"simple",10,10000
6,0.232912063598633,"GLFixedEffectModels Poisson",3,"simple",10,10000
6,0.398432016372681,"alpaca Poisson",3,"simple",10,10000
6,0.0602991580963135,"fixest::fepois",3,"simple",10,10000
7,0.101401805877686,"pyfixest.fepois",2,"simple",10,10000
7,0.0177619457244873,"GLFixedEffectModels Poisson",2,"simple",10,10000
7,0.116675615310669,"alpaca Poisson",2,"simple",10,10000
7,0.0602908134460449,"fixest::fepois",2,"simple",10,10000
7,0.142210245132446,"pyfixest.fepois",3,"simple",10,10000
7,0.0333189964294434,"GLFixedEffectModels Poisson",3,"simple",10,10000
7,0.315242052078247,"alpaca Poisson",3,"simple",10,10000
7,0.0553872585296631,"fixest::fepois",3,"simple",10,10000
8,0.102352380752563,"pyfixest.fepois",2,"simple",10,10000
8,0.024360179901123,"GLFixedEffectModels Poisson",2,"simple",10,10000
8,0.125548601150513,"alpaca Poisson",2,"simple",10,10000
8,0.0476169586181641,"fixest::fepois",2,"simple",10,10000
8,0.144215822219849,"pyfixest.fepois",3,"simple",10,10000
8,0.041935920715332,"GLFixedEffectModels Poisson",3,"simple",10,10000
8,0.299538612365723,"alpaca Poisson",3,"simple",10,10000
8,0.0565378665924072,"fixest::fepois",3,"simple",10,10000
9,0.110775470733643,"pyfixest.fepois",2,"simple",10,10000
9,0.0247869491577148,"GLFixedEffectModels Poisson",2,"simple",10,10000
