"iter","time","est_name","n_fe","dgp_name","n_iters","n_obs"
2,0.00796890258789062,"fixest::feols",3,"difficult",10,1000
3,0.0623235702514648,"pyfixest.feols",2,"difficult",10,1000
3,0.00147104263305664,"FixedEffectModels.reg",2,"difficult",10,1000
3,0.00574040412902832,"lfe::felm",2,"difficult",10,1000
3,0.00772213935852051,"fixest::feols",2,"difficult",10,1000
3,0.0615370273590088,"pyfixest.feols",3,"difficult",10,1000
3,0.00170397758483887,"FixedEffectModels.reg",3,"difficult",10,1000
3,0.00596427917480469,"lfe::felm",3,"difficult",10,1000
3,0.00787663459777832,"fixest::feols",3,"difficult",10,1000
4,0.0606048107147217,"pyfixest.feols",2,"difficult",10,1000
4,0.00146198272705078,"FixedEffectModels.reg",2,"difficult",10,1000
4,0.00584626197814941,"lfe::felm",2,"difficult",10,1000
4,0.00793337821960449,"fixest::feols",2,"difficult",10,1000
4,0.0612704753875732,"pyfixest.feols",3,"difficult",10,1000
4,0.00169992446899414,"FixedEffectModels.reg",3,"difficult",10,1000
4,0.00587320327758789,"lfe::felm",3,"difficult",10,1000
4,0.00784015655517578,"fixest::feols",3,"difficult",10,1000
5,0.0606722831726074,"pyfixest.feols",2,"difficult",10,1000
5,0.00145912170410156,"FixedEffectModels.reg",2,"difficult",10,1000
5,0.00576949119567871,"lfe::felm",2,"difficult",10,1000
5,0.00789141654968262,"fixest::feols",2,"difficult",10,1000
5,0.0604195594787598,"pyfixest.feols",3,"difficult",10,1000
5,0.00172996520996094,"FixedEffectModels.reg",3,"difficult",10,1000
5,0.0060269832611084,"lfe::felm",3,"difficult",10,1000
5,0.00791335105895996,"fixest::feols",3,"difficult",10,1000
6,0.059497594833374,"pyfixest.feols",2,"difficult",10,1000
6,0.00140094757080078,"FixedEffectModels.reg",2,"difficult",10,1000
6,0.00568604469299316,"lfe::felm",2,"difficult",10,1000
6,0.00909042358398438,"fixest::feols",2,"difficult",10,1000
6,0.0697207450866699,"pyfixest.feols",3,"difficult",10,1000
6,0.00176596641540527,"FixedEffectModels.reg",3,"difficult",10,1000
